htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
nyp.33433074869839	"Miss Kate; or, Confessions of a caretaker. By ""Rita"" [pseud.] ... "	Rita.	1889-00-00	1	37266482	ca07005302		https://catalog.hathitrust.org/Record/008669180	https://hdl.handle.net/2027/nyp.33433074869839
hvd.hwjw3g	Moral tales / by Miss Edgeworth. v.1	"Edgeworth, Maria, 1767-1849."	1821-00-00	1	5112164			https://catalog.hathitrust.org/Record/008664820	https://hdl.handle.net/2027/hvd.hwjw3g
hvd.hwjw3h	Moral tales / by Miss Edgeworth. v.2	"Edgeworth, Maria, 1767-1849."	1821-00-00	1	5112164			https://catalog.hathitrust.org/Record/008664820	https://hdl.handle.net/2027/hvd.hwjw3h
hvd.hwjw3i	Moral tales / by Miss Edgeworth. v.3	"Edgeworth, Maria, 1767-1849."	1821-00-00	1	5112164			https://catalog.hathitrust.org/Record/008664820	https://hdl.handle.net/2027/hvd.hwjw3i
mdp.39015004230838	Mr. Dooley in the hearts of his countrymen. 	"Dunne, Finley Peter, 1867-1936."	1899-00-00	1	335774	99005065		https://catalog.hathitrust.org/Record/001020936	https://hdl.handle.net/2027/mdp.39015004230838
mdp.39015063952694	"My new curate; a story gathered from the stray leaves of an old diary, by the Rev. P. A. Sheehan. "	"Sheehan, Patrick Augustine, 1852-1913."	1900-00-00	1	9120067			https://catalog.hathitrust.org/Record/000326010	https://hdl.handle.net/2027/mdp.39015063952694
nyp.33433074940069	Patsey the Omadaun / by M. McD. Bodkin 	"Bodkin, M. McDonnell 1850-1933."	1904-00-00	1	8823310			https://catalog.hathitrust.org/Record/008663749	https://hdl.handle.net/2027/nyp.33433074940069
nyp.33433075729891	Popular tales / by Maria Edgeworth v. 1	"Edgeworth, Maria, 1767-1849."	1813-00-00	1	9479697			https://catalog.hathitrust.org/Record/008664848	https://hdl.handle.net/2027/nyp.33433075729891
nyp.33433074878889	Rory O'More : a national romance / by Samuel Lover. 	"Lover, Samuel, 1797-1868."	1860-00-00	1	6298715			https://catalog.hathitrust.org/Record/008666267	https://hdl.handle.net/2027/nyp.33433074878889
uiug.30112052941496	Sir Roger's heir / by F. Frankfort Moore. 	"Moore, Frank Frankfort, 1855-1931."	1904-00-00	1	6606188			https://catalog.hathitrust.org/Record/100200452	https://hdl.handle.net/2027/uiug.30112052941496
nyp.33433074950548	"Tales and novels, by Maria Edgeworth ... v. 1-2"	"Edgeworth, Maria, 1767-1849."	1840-00-00	1	37175054			https://catalog.hathitrust.org/Record/008690925	https://hdl.handle.net/2027/nyp.33433074950548
nyp.33433074950597	"Tales and novels, by Maria Edgeworth ... v. 11-12"	"Edgeworth, Maria, 1767-1849."	1840-00-00	1	37175054			https://catalog.hathitrust.org/Record/008690925	https://hdl.handle.net/2027/nyp.33433074950597
