htid	access	rights	ht_bib_key	description	source	source_bib_num	oclc_num	isbn	issn	lccn	title	imprint	rights_reason_code	rights_timestamp	us_gov_doc_flag	date	pub_place	lang	bib_fmt	collection_code	content_provider_code	responsible_entity_code	digitization_agent_code	access_profile_code	author	catalog_url	handle_url
pst.000020203221	1	pd	52812	v.69 July-Dec.1920	PST	a1293421	1566573		21594643	4012669	The Dial  v.69 July-Dec	"Jansen, McClurg, 1880-1929."	bib	2014-11-11 03:26:04	0	1920	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020203221
pst.000020203238	1	pd	52812	v.70 Jan.-June 1921	PST	a1293421	1566573		21594643	4012669	The Dial  v.70 Jan.-Jun	"Jansen, McClurg, 1880-1929."	bib	2014-11-11 03:26:04	0	1921	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020203238
pst.000020203252	1	pd	52812	v.71 July-Dec.1921	PST	a1293421	1566573		21594643	4012669	The Dial  v.71 July-Dec	"Jansen, McClurg, 1880-1929."	bib	2014-11-11 03:26:04	0	1921	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020203252
iau.31858028292138	1	pd	52812	v.72 Jan.-June 1922	IAU	1657365	1566573		21594643	4012669	The Dial  v.72 Jan.-Jun	"Jansen, McClurg, 1880-1929."	bib	2016-03-05 03:26:11	0	1922	nyu	eng	SE	IAU	uiowa	uiowa	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/iau.31858028292138
pst.000020203276	1	pd	52812	v.73 July-Dec.1922	PST	a1293421	1566573		21594643	4012669	The Dial  v.73 July-Dec	"Jansen, McClurg, 1880-1929."	bib	2014-11-11 03:26:04	0	1922	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020203276
pst.000020203283	1	pd	52812	v.74 Jan.-June 1923	PST	a1293421	1566573		21594643	4012669	The Dial  v.74 Jan.-Jun	"Jansen, McClurg, 1880-1929."	bib	2019-01-01 03:25:49	0	1923	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020203283
pst.000020203290	1	pd	52812	v.75 July-Dec.1923	PST	a1293421	1566573		21594643	4012669	The Dial  v.75 July-Dec	"Jansen, McClurg, 1880-1929."	bib	2019-01-01 03:25:49	0	1923	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020203290
mdp.39015014162906	1	pd	52812	v.76 1924 Jan-Jun	MIU	990000528120106381	1566573		21594643	4012669	The Dial  v.76 1924 Jan	"Jansen, McClurg, 1880-1929."	bib	2020-01-01 07:25:06	0	1924	nyu	eng	SE	MIU	umich	umich	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/mdp.39015014162906
mdp.39015012898113	1	pd	52812	v.77 1924 Jul-Dec	MIU	990000528120106381	1566573		21594643	4012669	The Dial  v.77 1924 Jul	"Jansen, McClurg, 1880-1929."	bib	2020-01-01 07:25:06	0	1924	nyu	eng	SE	MIU	umich	umich	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/mdp.39015012898113
mdp.39015031076584	1	pd	52812	v.78 1925	MIU	990000528120106381	1566573		21594643	4012669	The Dial  v.78 1925	"Jansen, McClurg, 1880-1929."	bib	2021-01-01 05:25:16	0	1925	nyu	eng	SE	MIU	umich	umich	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/mdp.39015031076584
uc1.b2924821	1	pd	52812	v.79 (1925)	UC	b10064935x	1566573		21594643	4012669	The Dial  v.79 (1925)	"Jansen, McClurg, 1880-1929."	bib	2021-01-01 05:25:16	0	1925	nyu	eng	SE	NRLF	universityofcalifornia	universityofcalifornia	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/uc1.b2924821
uva.x000021917	1	pd	52812	v.80 Jan.-June 1926	UVA	u745810	1566573		21594643	4012669	The Dial  v.80 Jan.-Jun	"Jansen, McClurg, 1880-1929."	bib	2022-01-01 05:25:25	0	1926	nyu	eng	SE	UVA	virginia	virginia	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/uva.x000021917
uva.x000021918	1	pd	52812	v.81 1926 July-Dec.	UVA	u745810	1566573		21594643	4012669	The Dial  v.81 1926 Jul	"Jansen, McClurg, 1880-1929."	bib	2022-01-01 05:25:25	0	1926	nyu	eng	SE	UVA	virginia	virginia	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/uva.x000021918
