htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
uc2.ark:/13960/t6sx66s8t	"The race of Castlebar : being a narrative addressed by Mr. John Bunbury to his brother, Mr. Theodore Bunbury, attached to his Britannic Majesty's embassy at Florence, October 1798, and now first given to the world / by Emily Lawless and Shan F. Bullock."	"Lawless, Emily, 1845-1913."	1913-00-00	1	11027624			https://catalog.hathitrust.org/Record/007681204	https://hdl.handle.net/2027/uc2.ark:/13960/t6sx66s8t
njp.32101067645430	"The rivals, and Tracy's ambition, by Gerald Griffin. "	"Griffin, Gerald, 1803-1840."	1857-00-00	1	4174654	6045428		https://catalog.hathitrust.org/Record/008961932	https://hdl.handle.net/2027/njp.32101067645430
nyp.33433074941943	"The star dreamer; a romance, by Agnes and Egerton Castle. "	"Castle, Agnes, -1922."	1903-00-00	1	2651493	3004416		https://catalog.hathitrust.org/Record/008665248	https://hdl.handle.net/2027/nyp.33433074941943
nyp.33433074868336	"The way of a maid, by Katharine Tynan (Mrs. Hinkson) "	"Tynan, Katharine, 1861-1931."	1895-00-00	1	14251014			https://catalog.hathitrust.org/Record/008665686	https://hdl.handle.net/2027/nyp.33433074868336
mdp.39015030326832	The works of William Carleton / William Carleton. v.1	"Carleton, William, 1794-1869."	1882-00-00	1	6610392			https://catalog.hathitrust.org/Record/000622485	https://hdl.handle.net/2027/mdp.39015030326832
mdp.39015030326816	The works of William Carleton / William Carleton. v.2	"Carleton, William, 1794-1869."	1882-00-00	1	6610392			https://catalog.hathitrust.org/Record/000622485	https://hdl.handle.net/2027/mdp.39015030326816
uva.x030576777	The works of William Carleton / William Carleton. v.3	"Carleton, William, 1794-1869."	1882-00-00	1	6610392			https://catalog.hathitrust.org/Record/000622485	https://hdl.handle.net/2027/uva.x030576777
uc2.ark:/13960/t3kw59x2j	Traits and confidences / by the Hon. Emily Lawless. 	"Lawless, Emily, 1845-1913."	1898-00-00	1	5638832			https://catalog.hathitrust.org/Record/006156289	https://hdl.handle.net/2027/uc2.ark:/13960/t3kw59x2j
aeu.ark:/13960/t6g171786	"Willy Burke, or, The Irish orphan in America by Mrs. J. Sadlier. "	"Sadlier, J., Mrs., 1820-1903."	1850-00-00	1	867974845		"9780665948015,0665948018"	https://catalog.hathitrust.org/Record/100315850	https://hdl.handle.net/2027/aeu.ark:/13960/t6g171786
ucw.ark:/13960/t4sj1qx16	Willy Reilly and his dear Coleen Bawn : a tale founded upon fact / by William Carleton. 	"Carleton, William, 1794-1869."	1855-00-00	1	55794813			https://catalog.hathitrust.org/Record/100190153	https://hdl.handle.net/2027/ucw.ark:/13960/t4sj1qx16
hvd.hn1rtu	Willy Reilly and his dear Colleen Bawn / by William Carleton. 	"Carleton, William, 1794-1869."	1895-00-00	1	16513024			https://catalog.hathitrust.org/Record/100485144	https://hdl.handle.net/2027/hvd.hn1rtu
uc2.ark:/13960/t7mp4wc1w	With Moore at Corunna; with 12 illus. by Wal Paget.	"Henty, G. A. 1832-1902."	1898-00-00	1	4564692			https://catalog.hathitrust.org/Record/005550047	https://hdl.handle.net/2027/uc2.ark:/13960/t7mp4wc1w
