htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
uc2.ark:/13960/t57d2rd92	The queen of the Pirate Isle, illus. by Kate Greenaway, engr. and printed by Edmund Evans. 	Harte, Bret, 1836-1902.	1886-00-00	1	3012638			https://catalog.hathitrust.org/Record/007661818	https://hdl.handle.net/2027/uc2.ark:/13960/t57d2rd92
coo1.ark:/13960/t78s5954x	The real dope, by Ring W. Lardner ...; illustrated by May Wilson Preston and M.L. Blumenthal. 	Lardner, Ring, 1885-1933.	1919-00-00	1	2181316	19003425		https://catalog.hathitrust.org/Record/001021012	https://hdl.handle.net/2027/coo1.ark:/13960/t78s5954x
nyp.33433008494969	Reuben James, a hero of the forecastle, by Cyrus Townsend Brady...With illustrations by George Gibbs and others. 	Brady, Cyrus Townsend, 1861-1920.	1900-00-00	1	546107	00005338		https://catalog.hathitrust.org/Record/008592574	https://hdl.handle.net/2027/nyp.33433008494969
uc1.$b87354	River rogue, by Brainard Cheney. 	Cheney, Brainard, 1900-1990.	1942-00-00	1	3267261	42019135		https://catalog.hathitrust.org/Record/006593476	https://hdl.handle.net/2027/uc1.$b87354
mdp.39076002658008	Rob the ranger : a story of the fight for Canada, by Herbert Strang ; with illustrations by W.H. Margetson. 	Strang, Herbert.	1907-00-00	1	1630208	07031414		https://catalog.hathitrust.org/Record/009930164	https://hdl.handle.net/2027/mdp.39076002658008
mdp.39015078556449	Robinson Crusoe. 	Defoe, Daniel, 1661?-1731.	1885-00-00	1	11057389			https://catalog.hathitrust.org/Record/005219388	https://hdl.handle.net/2027/mdp.39015078556449
mdp.39076002271919	The Rover boys out west : or, The search for a lost mine / by Arthur M. Winfield. 	Winfield, Arthur M.	1900-00-00	1	5330076			https://catalog.hathitrust.org/Record/009928813	https://hdl.handle.net/2027/mdp.39076002271919
nyp.33433082529995	Ruth Fielding and the gypsies : or, The missing pearl necklace / by Alice B. Emerson. 	Emerson, Alice B.	1915-00-00	1	4560824			https://catalog.hathitrust.org/Record/005286519	https://hdl.handle.net/2027/nyp.33433082529995
mdp.39015083943665	Ruth Fielding at Briarwood Hall, or, Solving the campus mystery / by Alice B. Emerson. 	Emerson, Alice B.	1913-00-00	1	3251839			https://catalog.hathitrust.org/Record/009452081	https://hdl.handle.net/2027/mdp.39015083943665
mdp.39015085433426	The saddle boys of the Rockies : or, Lost on Thunder Mountain / by Captain James Carson. 	Carson, James.	1913-00-00	1	4122645			https://catalog.hathitrust.org/Record/005069382	https://hdl.handle.net/2027/mdp.39015085433426
nyp.33433075744890	The Scarlet Pimpernel / by Baroness Orczy. 	Orczy, Emmuska Orczy, Baroness, 1865-1947.	1905-00-00	1	9295002			https://catalog.hathitrust.org/Record/008666703	https://hdl.handle.net/2027/nyp.33433075744890
