htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
hvd.hn1sbm	Jane Eyre. 	Brontë, Charlotte, 1816-1855.	1885-00-00	1	237229309			https://catalog.hathitrust.org/Record/100486388	https://hdl.handle.net/2027/hvd.hn1sbm
uva.x000094791	The professor / by Charlotte Brontë. 	Brontë, Charlotte, 1816-1855.	1907-00-00	9	4066568			https://catalog.hathitrust.org/Record/009793904	https://hdl.handle.net/2027/uva.x000094791
uc1.b5300985	Shirley. 	Brontë, Charlotte, 1816-1855.	1860-00-00	1	33600900	06017950		https://catalog.hathitrust.org/Record/011714230	https://hdl.handle.net/2027/uc1.b5300985
pst.000012111633	Villette / by Charlotte Brontë (Currer Bell) ; with an introduction by Mrs. Humphry Ward. 	Brontë, Charlotte, 1816-1855.	1899-00-00	9	34049917			https://catalog.hathitrust.org/Record/012263721	https://hdl.handle.net/2027/pst.000012111633
