htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
mdp.39015073483839	A Jacobite exile : being the adventures of a young Englishman in the service of Charles XII of Sweden / by G. A. Henty ; illustrations by Paul Hardy. 	Henty, G. A. 1832-1902.	1894-00-00	1	3428611			https://catalog.hathitrust.org/Record/005544120	https://hdl.handle.net/2027/mdp.39015073483839
mdp.39015073483664	A knight of the White cross; a tale of the siege of Rhodes, by G. A. Henty ... with twelve illustrations by Ralph Peacock, and a plan 	Henty, G. A. 1832-1902.	1895-00-00	1	1935101	12034138		https://catalog.hathitrust.org/Record/005544129	https://hdl.handle.net/2027/mdp.39015073483664
mdp.39015073483813	A knight of the White Cross; a tale of the siege of Rhodes. With 12 illus. by Ralph Peacock 	Henty, G. A. 1832-1902.	1896-00-00	9	450489	68038900		https://catalog.hathitrust.org/Record/005544128	https://hdl.handle.net/2027/mdp.39015073483813
mdp.39015073483847	The lion of St. Mark : a tale of Venice / by G.A. Henty ; illustrations by Gordon Browne 	Henty, G. A. 1832-1902.	1889-00-00	1	39253657	41031139		https://catalog.hathitrust.org/Record/005544228	https://hdl.handle.net/2027/mdp.39015073483847
mdp.39015063942919	The lion of St. Mark: a story of Venice in the fourteenth century. By G. A. Henty. 	Henty, G. A. 1832-1902.	0000-00-00	5	2616212			https://catalog.hathitrust.org/Record/000437058	https://hdl.handle.net/2027/mdp.39015063942919
mdp.39015025976161	The Lion of the North : a tale of the times of Gustavus Adolphus and the wars of religion / by G.A. Henty ; illustrations by John Schönberg. 	Henty, G. A. 1832-1902.	1886-00-00	9	44023876			https://catalog.hathitrust.org/Record/000437061	https://hdl.handle.net/2027/mdp.39015025976161
mdp.39015073484076	The Lion of the North : a tale of the times of Gustavus Adolphus and the wars of religion / by G.A. Henty ; illustrations by John Schönberg. 	Henty, G. A. 1832-1902.	1886-00-00	9	44023876			https://catalog.hathitrust.org/Record/000437061	https://hdl.handle.net/2027/mdp.39015073484076
mdp.39015073484068	The Lion of the North : a tale of the times of Gustavus Adolphus and the wars of religion / by G.A. Henty ; illustrated by John Schönberg. 	Henty, G. A. 1832-1902.	1899-00-00	1	24785521			https://catalog.hathitrust.org/Record/005544420	https://hdl.handle.net/2027/mdp.39015073484068
mdp.39015073484316	Orange and green : a tale of the Boyne and Limerick / by G.A. Henty ; illustrations by Gordon Browne. 	Henty, G. A. 1832-1902.	1888-00-00	1	10131470	41032221		https://catalog.hathitrust.org/Record/005545409	https://hdl.handle.net/2027/mdp.39015073484316
mdp.39015073479571	Orange and green : a tale of the Boyne and Limerick / by G.A. Henty ; illustrations by Gordon Browne. 	Henty, G. A. 1832-1902.	1899-00-00	1	10603727			https://catalog.hathitrust.org/Record/005545426	https://hdl.handle.net/2027/mdp.39015073479571
mdp.39015073480033	Through the fray : a tale of the Luddite riots / by G. A. Henty ; illustrations by H. M. Paget 	Henty, G. A. 1832-1902.	1899-00-00	1	706073496			https://catalog.hathitrust.org/Record/005546943	https://hdl.handle.net/2027/mdp.39015073480033
mdp.39015073479902	Through the Sikh war : a tale of the conquest of the Punjaub / by G. A. Henty ; illustrations by Hal Hurst. 	Henty, G. A. 1832-1902.	1893-00-00	1	3485679	12034135		https://catalog.hathitrust.org/Record/005546947	https://hdl.handle.net/2027/mdp.39015073479902
mdp.39015020934967	True to the old flag : a tale of the American war of independence / by G. A. Henty ; illustrations by Gordon Browne. 	Henty, G. A. 1832-1902.	1885-00-00	1	10893132			https://catalog.hathitrust.org/Record/000438241	https://hdl.handle.net/2027/mdp.39015020934967
mdp.39015039579761	True to the old flag : a tale of the American war of independence / by G.A. Henty ; [illustrations by Gordon Browne]. 	Henty, G. A. 1832-1902.	1899-00-00	1	10407677	42019686		https://catalog.hathitrust.org/Record/001112636	https://hdl.handle.net/2027/mdp.39015039579761
mdp.39015073480421	With Clive in India, or, The beginnings of an empire / by G.A. Henty ; illustrations by Gordon Browne. 	Henty, G. A. 1832-1902.	1884-00-00	1	4410727			https://catalog.hathitrust.org/Record/005549627	https://hdl.handle.net/2027/mdp.39015073480421
mdp.39015054061943	With Clive in India; or, the beginnings of an empire. 	Henty, G. A. 1832-1902.	1907-00-00	1	3051230			https://catalog.hathitrust.org/Record/000438248	https://hdl.handle.net/2027/mdp.39015054061943
mdp.39015073480678	Yarns on the beach : a bundle of tales / by G.A. Henty ; illustrations by J.J. Proctor. 	Henty, G. A. 1832-1902.	1897-00-00	9	44139946			https://catalog.hathitrust.org/Record/005602396	https://hdl.handle.net/2027/mdp.39015073480678
mdp.39015073480538	The young colonists / by G. A. Henty. 	Henty, G. A. 1832-1902.	1885-00-00	1	10124997			https://catalog.hathitrust.org/Record/005550880	https://hdl.handle.net/2027/mdp.39015073480538
mdp.39015009101380	Held fast for England : G. A. Henty, imperialist boys' writer / by Guy Arnold. 	Arnold, Guy.	1980-00-00	2	6483687		9780241103739,0241103738,0241103738:	https://catalog.hathitrust.org/Record/000097360	https://hdl.handle.net/2027/mdp.39015009101380
