htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
hvd.32044054747258	"Letters on Unitarianism : addressed to the members of the First Presbyterian Church, in the city of Baltimore / by Samuel Miller. "	"Miller, Samuel, 1769-1850."	1821-00-00	1	"5624809,5621590"	44013648		https://catalog.hathitrust.org/Record/005775932	https://hdl.handle.net/2027/hvd.32044054747258
hvd.ah219e	"Liberal religious thought at the beginning of the twentieth century addresses and papers at the International Council of Unitarian and Other Liberal Religious Thinkers and Workers, held in London, May, 1901 / edited by W. Copeland Bowie."	"International Council of Unitarian and Other Liberal Religious Thinkers and Workers (1901 : London, England)"	1901-00-00	9	2494905	9017936	"9780837087511,0837087511,0837087511(microfiche)"	https://catalog.hathitrust.org/Record/100432606	https://hdl.handle.net/2027/hvd.ah219e
hvd.hwjran	Manual of Unitarian belief / by James Freeman Clarke. 	"Clarke, James Freeman, 1810-1888."	1884-00-00	1	4723889	24025202		https://catalog.hathitrust.org/Record/100541548	https://hdl.handle.net/2027/hvd.hwjran
hvd.ah63cw	"Memoirs of the late Reverend Theophilus Lindsey, M.A. : including a brief analysis of his works; together with anecdotes and letters of eminent persons, his friends and correspondents: also a general view of the progress of the Unitarian doctrine in England and America / By Thomas Belsham ... "	"Belsham, Thomas, 1750-1829."	1812-00-00	1	13987026	37010024		https://catalog.hathitrust.org/Record/009707556	https://hdl.handle.net/2027/hvd.ah63cw
hvd.ah3aj3	Modern Unitarianism : essays and sermons / by James Freeman Clarke . . . [et al.] 	"Clarke, James Freeman, 1810-1888."	1886-00-00	1	"181940810,3686582"		"9780524031407,0524031401,0524031401(microfiche)"	https://catalog.hathitrust.org/Record/008625026	https://hdl.handle.net/2027/hvd.ah3aj3
hvd.ah47ca	"My progress in error, and recovery to truth. Or, A tour through Universalism, Unitarianism, and skepticism. "		1842-00-00	1	6138019	36025395		https://catalog.hathitrust.org/Record/008626966	https://hdl.handle.net/2027/hvd.ah47ca
hvd.ah4jjy	"Our liberal movement in theology : chiefly as shown in recollections of the history of Unitarianism in New England, being a closing course of lectures given in the Harvard divinity school / by Joseph Henry Allen. "	"Allen, Joseph Henry, 1820-1898."	1882-00-00	1	772432	26022108	"9780837003450,0837003458,0837003458:"	https://catalog.hathitrust.org/Record/001594703	https://hdl.handle.net/2027/hvd.ah4jjy
hvd.32044016897282	Our Unitarian gospel / by M.J. Savage 	"Savage, Minot J. 1841-1918."	1900-00-00	1	5689558			https://catalog.hathitrust.org/Record/006576505	https://hdl.handle.net/2027/hvd.32044016897282
hvd.32044051079390	Popular objections to Unitarian Christianity : considered and answered in seven discourses / by George W. Burnap. 	"Burnap, George Washington, 1802-1859."	1848-00-00	1	3984324			https://catalog.hathitrust.org/Record/011546666	https://hdl.handle.net/2027/hvd.32044051079390
hvd.ah4jk1	"Reasons why I am a Unitarian : in a series of letters to a friend / by John R. Beard, D.D. "	"Beard, J. R. 1800-1876."	1860-00-00	1	19865698			https://catalog.hathitrust.org/Record/011547503	https://hdl.handle.net/2027/hvd.ah4jk1
hvd.hwt77f	"Remarks on the Letter from a gentleman in Boston, to a Unitarian clergyman of that city : and the Reply, and Review of the same. "		1828-00-00	1	3494868			https://catalog.hathitrust.org/Record/009717520	https://hdl.handle.net/2027/hvd.hwt77f
hvd.32044019968130	"Reports presented to the Western Conference of Unitarian Churches held at Louisville, May, 1854."	"American Unitarian Association. Western Conference (1854 : Louisville, Ky.)"	1854-00-00	1	13026880			https://catalog.hathitrust.org/Record/011530126	https://hdl.handle.net/2027/hvd.32044019968130
hvd.ah68zy	"Scripture proofs and Scriptural illustrations of Unitarianism : with an examination of the alleged Biblical evidence for the doctrine of a triune God, the proper deity of Christ and the divine personality of the Holy Spirt distinct from the father ... / by John Wilson. "	"Wilson, John, 1802-1868."	1837-00-00	1	16795514			https://catalog.hathitrust.org/Record/009738098	https://hdl.handle.net/2027/hvd.ah68zy
hvd.32044054746953	Scripture proofs and Scriptural illustrations of Unitarianism / by John Wilson. 	"Wilson, John, 1802-1868."	1847-00-00	1	5267998			https://catalog.hathitrust.org/Record/011600462	https://hdl.handle.net/2027/hvd.32044054746953
hvd.ah5nce	"Sermons delivered before the First Society of Unitarian Christians in the City of Philadelphia : wherein the principal points on which that denomination of believers differ from the majority of their brethren, are occasionally elucidated / by Ralph Eddowes ... "	"Eddowes, Ralph, 1751-1833."	1817-00-00	1	"15570198,17797145"			https://catalog.hathitrust.org/Record/009707213	https://hdl.handle.net/2027/hvd.ah5nce
hvd.ah6alw	"Some account of the origin and progress of trinitarian theology : in the second, third, and succeeding centuries, and of the manner in which its doctrines gradually supplanted the unitarianism of the primitive church : compiled from the works of various theological and historical writers / by James Forrest, A.M. "	"Forrest, James, A.M."	1836-00-00	1	5270969			https://catalog.hathitrust.org/Record/009728355	https://hdl.handle.net/2027/hvd.ah6alw
hvd.32044048257133	"The Bampton lecturer reproved : being a reply to the calumnious charges of C. A. Moysey, in his late Bampton lectures against the Unitarians, and especially to the editors of the improved version ; in letters to a friend ... / by Thomas Belsham. "	"Belsham, Thomas, 1750-1829."	1819-00-00	1	4566152			https://catalog.hathitrust.org/Record/009706008	https://hdl.handle.net/2027/hvd.32044048257133
hvd.32044077891240	"The believer's defence : or, the doctrine of the trinity of God and atonement of Christ defended against Unitarianism, compiled from various authors / by Albert McWright. "	"McWright, Albert."	1841-00-00	1	4831514			https://catalog.hathitrust.org/Record/009728317	https://hdl.handle.net/2027/hvd.32044077891240
hvd.hn589j	The claims of Antioch College on the Unitarian denomination : inferred from a brief history of the institution / [by Henry W. Bellows] 	"Bellows, Henry W. 1814-1882."	1865-00-00	1	1014973			https://catalog.hathitrust.org/Record/011635609	https://hdl.handle.net/2027/hvd.hn589j
hvd.32044081808990	"The duty of promoting Christianity by the circulation of books : a discourse delivered before the Unitarian Book and Pamphlet Society, at the annual meeting, May 31, 1838 / by Henry Ware."	"Ware, Henry, 1794-1843."	1838-00-00	1	5951732			https://catalog.hathitrust.org/Record/009728402	https://hdl.handle.net/2027/hvd.32044081808990
hvd.32044081810780	The forward movement in religious thought as interpreted by Unitarians : five lectures / by Brooke Herford. 	"Herford, Brooke, 1830-1903."	1895-00-00	1	6098974		"9780524076880,052407688X,052407688X(microfiche)"	https://catalog.hathitrust.org/Record/100371737	https://hdl.handle.net/2027/hvd.32044081810780
hvd.32044077931681	"The Gospels, historical address delivered at the Unitarian Conference in Washington D.C., October, 1895 : and other sermons / by W.H. Furness."	"Furness, William Henry, 1802-1896."	1896-00-00	1	13222701			https://catalog.hathitrust.org/Record/100349077	https://hdl.handle.net/2027/hvd.32044077931681
hvd.ah219v	"The Gospels, historical address delivered at the Unitarian Conference in Washington D.C., October, 1895 : and other sermons / by W.H. Furness."	"Furness, William Henry, 1802-1896."	1895-00-00	1	12656098		"9780790534381,079053438X,079053438X(microfiche)"	https://catalog.hathitrust.org/Record/100432807	https://hdl.handle.net/2027/hvd.ah219v
hvd.32044077901700	"The practical efficacy of the Unitarian doctrine : considered in a series of letters to the Rev. Andrew Fuller : occasioned by his publication entitled ""The Calvinistic and Socinian systems examined and compared as to their moral tendency."" : to which is added the third edition of an essay on the grounds of love to Christ / by Joshua Toulmin. "	"Toulmin, Joshua, 1740-1815."	1801-00-00	1	5961523			https://catalog.hathitrust.org/Record/009706040	https://hdl.handle.net/2027/hvd.32044077901700
hvd.ah5tkz	The results of an inquiry into the aims and characteristics of Unitarian preaching / by Samuel A. Eliot. 	"Eliot, Samuel A. 1862-1950."	1902-00-00	1	1281870			https://catalog.hathitrust.org/Record/100433112	https://hdl.handle.net/2027/hvd.ah5tkz
hvd.32044052750544	The story of Protestant dissent and English Unitarianism / by Walter Lloyd. 	"Lloyd, Walter, 1845-1907."	1899-00-00	1	"181934258,40526673"		"9780524076958,0524076952,0524076952(microfiche)"	https://catalog.hathitrust.org/Record/100348110	https://hdl.handle.net/2027/hvd.32044052750544
hvd.32044017191719	The Unitarian faith set forth in fifty Unitarian hymns. 	American Unitarian Association.	1914-00-00	1	"11571803,2814838"			https://catalog.hathitrust.org/Record/100319899	https://hdl.handle.net/2027/hvd.32044017191719
