htid	access	rights	ht_bib_key	description	source	source_bib_num	oclc_num	isbn	issn	lccn	title	imprint	rights_reason_code	rights_timestamp	us_gov_doc_flag	rights_date_used	pub_place	lang	bib_fmt	collection_code	content_provider_code	responsible_entity_code	digitization_agent_code	access_profile_code	author	catalog_url	handle_url
hvd.hwkiv5	1	pd	11628410		HVD	002819138	13414468				Crook In The Lot, Or, A Display Of The Sovereignty And Wisdom Of God In The Afflictions Of Men, And The Christian's Deportment Under Them / By Thomas Boston.	Robert Carter, 1848.	bib	2012-06-04 10:28:02	0	1848	nyu	eng	BK	HVD	harvard	harvard	google	google	Boston, Thomas, 1677-1732.	https://catalog.hathitrust.org/Record/11628410	https://hdl.handle.net/2027/hvd.hwkiv5
yale.39002003013746	1	pd	9832434		YALE	5353711	7471191				Daemonologia Sacra	Printed by Thomas and John Turnbull, 1800.	bib	2011-09-03 19:30:13	0	1800	stk	eng	BK	YALE	yale	yale	yale	open	Gilpin, Richard, 1625-1700.	https://catalog.hathitrust.org/Record/9832434	https://hdl.handle.net/2027/yale.39002003013746
coo.31924032255105	1	pd	100011120		COO	5748496	23996232				De Origine Mali 	Hodges, Foster, 1872.	bib	2013-12-26 03:39:27	0	1872	ie 	eng	BK	COO	cornell	cornell	google	google	Barlow, James William, 1826-1913.	https://catalog.hathitrust.org/Record/100011120	https://hdl.handle.net/2027/coo.31924032255105
mdp.39015056742698	1	pd	1390459		MIU	990039139420106381,990013904590106381	656684			30031125	Dissertation On Liberty And Necessity, Pleasure And Pain, Reproduced From The First Edition, With A Bibliographical Note By Lawrence C. Wroth.	The Facsimile text society, 1930.	crms	2012-01-18 05:30:03	0	1930	nyu	eng	BK	MIU	umich	umich	google	google	Franklin, Benjamin, 1706-1790.	https://catalog.hathitrust.org/Record/1390459	https://hdl.handle.net/2027/mdp.39015056742698
hvd.ah3h1n	1	pd	11618202		HVD	000806668	4378619				Divine Efficiency And Moral Harmony Of The Universe 	James M. Usher, 1854.	bib	2012-05-31 19:33:09	0	1854	mau	eng	BK	HVD	harvard	harvard	google	google	Tillotson, Obadiah H., 1816-1863.	https://catalog.hathitrust.org/Record/11618202	https://hdl.handle.net/2027/hvd.ah3h1n
hvd.hwnnan	1	pd	100542234		HVD	002422685	374953	0837059453,9780837059457		20008488	Does God Send Trouble? 	Houghton, Mifflin, 1894.	bib	2014-10-25 03:48:16	0	1894	mau	eng	BK	HVD	harvard	harvard	google	google	Hall, Charles Cuthbert, 1852-1908.	https://catalog.hathitrust.org/Record/100542234	https://hdl.handle.net/2027/hvd.hwnnan
uva.x001964369	1	pd	9794721		UVA	u765607	12871797				Duel.	Hodder and Stoughton, 1906.	add	2014-05-28 05:25:04	0	1906	enk	eng	BK	UVA	virginia	virginia	google	google	Kernahan, Coulson, 1858-1943.	https://catalog.hathitrust.org/Record/9794721	https://hdl.handle.net/2027/uva.x001964369
uc1.31175001721482	1	pd	100153707		UC	000993559	84434420				Enquiry Into The Cause And Origin Of Evil, In Which The Principal Phaenomena Of Nature Are Explained According To The True Principles Of Philosophy ... Being The Substance Of Eight Sermons Preached At The Parish-church Of St. Mary Le Bow In The Year 1719, At The Lecture Founded By The Honourable Robert Boyle.	Prnted for James Knapton, 1720.	bib	2014-04-17 03:28:13	0	1720	enk	eng	BK	UCD	universityofcalifornia	universityofcalifornia	google	google	Clarke, John, 1682-1757.	https://catalog.hathitrust.org/Record/100153707	https://hdl.handle.net/2027/uc1.31175001721482
uc1.31175035492365	1	pd	12433898	(v.1-2)	UC	000058586	38652513				Essay On The Future Life Of Brutes, Introduced With Observations Upon Evil, Its Nature, And Origin. By Richard Dean.	Printed by G. Kearsly, 1768.	bib	2013-08-17 19:25:26	0	1768	enk	eng	BK	UCD	universityofcalifornia	universityofcalifornia	google	google	Dean, Richard, approximately 1727-1778.	https://catalog.hathitrust.org/Record/12433898	https://hdl.handle.net/2027/uc1.31175035492365
hvd.hn33my	1	pd	1920774		HVD	002262151	14938866				Essay On The Origin Of Evil. By Dr. William King	Printed for W. Thurlbourn bookseller in Cambridge; and sold by R. Knaplock, J. and J. Knapton, and W. Innis in St. Paul's Church-Yard London, 1731.	bib	2012-05-13 19:44:53	0	1731	enk	eng	BK	HVD	harvard	harvard	google	google	King, William, 1650-1729.	https://catalog.hathitrust.org/Record/1920774	https://hdl.handle.net/2027/hvd.hn33my
mdp.39015002744806	1	pd	1389888		MIU	990013898880106381	691084			34001450	Ethics And Moral Tolerance.	Macmillan, 1934.	ren	2012-10-16 05:30:03	0	1934	nyu	eng	BK	MIU	umich	umich	google	google	Rogers, Arthur Kenyon, 1868-	https://catalog.hathitrust.org/Record/1389888	https://hdl.handle.net/2027/mdp.39015002744806
osu.32435003813722	1	pd	100164985		OU	b27191461	40952069				Evil, Its Nature And Cause .	B. Herder, 1907.	add	2014-05-31 05:25:06	0	1907	enk	eng	BK	OSU	osu	osu	google	google	Sharpe, A. B. 1851-1932.	https://catalog.hathitrust.org/Record/100164985	https://hdl.handle.net/2027/osu.32435003813722
hvd.ah5qtm	1	pd	1920779		HVD	002255914	8443962				Evil & Evolution 	Macmillan, 1896.	add	2015-02-03 05:25:02	0	1896	enk	eng	BK	HVD	harvard	harvard	google	google	Millin, George F.	https://catalog.hathitrust.org/Record/1920779	https://hdl.handle.net/2027/hvd.ah5qtm
hvd.ah5qw3	1	pd	1920787		HVD	002246868	4038210				Evil Not From God 	Mason, 1858.	bib	2012-05-16 04:30:30	0	1858	nyu	eng	BK	HVD	harvard	harvard	google	google	Young, John.	https://catalog.hathitrust.org/Record/1920787	https://hdl.handle.net/2027/hvd.ah5qw3
mdp.39015063173887	1	pd	5212379		MIU	990052123790106381	67295851				Evils Of The Cities 	Rhodes & McClure Pub. Co., 1903.	bib	2013-04-01 19:25:22	0	1903	ilu	eng	BK	MIU	umich	umich	google	google	Talmage, T. De Witt 1832-1902.	https://catalog.hathitrust.org/Record/5212379	https://hdl.handle.net/2027/mdp.39015063173887
mdp.39015015406120	1	pd	1920771		MIU	990019207710106381	24367799				Fallen Angels, A Disquisition Upon Human Existence, An Attempt To Elucidate Some Of Its Mysteries Especially Those Of Evil And Of Suffering, By One Of Them.	Gay and Bird, 1894.	bib	2021-01-20 16:37:46	0	1894	enk	eng	BK	MIU	umich	umich	google	google		https://catalog.hathitrust.org/Record/1920771	https://hdl.handle.net/2027/mdp.39015015406120
coo.31924006850063	1	pdus	12445144		COO	278417	6679292				Free Inquiry Into The Nature And Origin Of Evil. In Six Letters To ---- .	Printed for R. and J. Dodsley, 1758.	gfv	2013-10-16 09:36:20	0	1980	xx 	eng	BK	COO	cornell	cornell	google	google	Jenyns, Soame, 1704-1787.	https://catalog.hathitrust.org/Record/12445144	https://hdl.handle.net/2027/coo.31924006850063
pst.000020554378	1	pdus	8517790		PST	a3630	316940453				Freewill Of Man And The Origin Of Evil 	J. Speirs, 1881 ; University Microfilms, 1967].	gfv	2011-08-01 14:08:53	0	1967	xx 	eng	BK	PST	psu	psu	google	google	Howells, William Cooper, 1807-1894.	https://catalog.hathitrust.org/Record/8517790	https://hdl.handle.net/2027/pst.000020554378
hvd.32044010476851	1	pd	100327673		HVD	003988214	5764581			20017681,20017681 //r86	Glinda Of Oz 	Reily & Lee, 1920.	bib	2014-10-04 03:28:20	0	1920	ilu	eng	BK	HVD	harvard	harvard	google	google	Baum, L. Frank 1856-1919.	https://catalog.hathitrust.org/Record/100327673	https://hdl.handle.net/2027/hvd.32044010476851
aeu.ark:/13960/t57d46q6s	1	pdus	100296150		AEU	6291190	861675819	066578547X,9780665785474			God In History In Nature And In War By George Frederick Jelfs.	s.n., 1918?]	bib	2014-09-19 03:25:48	0	1918	onc	eng	BK	AEU	ualberta	ualberta	ia	open	Jeffs, George Frederick, 1853-1941.	https://catalog.hathitrust.org/Record/100296150	https://hdl.handle.net/2027/aeu.ark:/13960/t57d46q6s
hvd.32044069559839	1	pd	1390386		HVD	002246033	3785175			19002198	Good And Evil; A Study In Biblical Theology, By Loring W. Batten.	Fleming H. Revell Company [c1918]	bib	2014-11-06 03:31:40	0	1918	nyu	eng	BK	HVD	harvard	harvard	google	google	Batten, Loring Woart, 1859-	https://catalog.hathitrust.org/Record/1390386	https://hdl.handle.net/2027/hvd.32044069559839
hvd.32044017086976	1	pd	8623170		HVD	000775663	3599604			04034573	Goodness Of God In View Of The Facts Of Nature And The Supernatural, By George T. Knight ...	Universalist Pub. House, 1904.	bib	2014-10-04 03:26:48	0	1904	mau	eng	BK	HVD	harvard	harvard	google	google	Knight, George Thomson, 1850-1911.	https://catalog.hathitrust.org/Record/8623170	https://hdl.handle.net/2027/hvd.32044017086976
mdp.39015026427099	1	pdus	2442012		MIU	990024420120106381	35669			sa 68012309,sa68012309	Goods And Bads; Outlines Of Philosophy Of Life. Being The Substance Of A Series Of Talks And Discussions With H. H. The Maharajah Gaekwar Of Baroda, By Alban G. Widgery.	[1920]	bib	2012-08-11 19:30:14	0	1920	ii 	eng	BK	MIU	umich	umich	google	google	Widgery, Alban G. 1887-1968.	https://catalog.hathitrust.org/Record/2442012	https://hdl.handle.net/2027/mdp.39015026427099
coo1.ark:/13960/t0gt65055	1	pd	7915091		COO	1422894	2812941			44048096,44048096//r97	Gordian Knot 	R. Bentley, 1860.	bib	2015-07-20 12:25:43	0	1860	enk	eng	BK	COO	cornell	cornell	cornell-ms	open	Brooks, Shirley, 1816-1874.	https://catalog.hathitrust.org/Record/7915091	https://hdl.handle.net/2027/coo1.ark:/13960/t0gt65055
coo1.ark:/13960/t4gm8s95f	1	pdus	1406953		COO	4458805	4677135,7079210			99001629	Gospel For A World Of Sin / By Henry Van Dyke.	Macmillan ; Macmillan & co., ltd., 1899.	bib	2015-07-23 03:25:14	0	1899	nyu	eng	BK	COO	cornell	cornell	cornell-ms	open	Van Dyke, Henry, 1852-1933.	https://catalog.hathitrust.org/Record/1406953	https://hdl.handle.net/2027/coo1.ark:/13960/t4gm8s95f
coo1.ark:/13960/t2f76xc05	1	pd	100770822		COO	4434344	24672618				Gravenhurst, Or, Thoughts On Good And Evil / By William Smith.	Blackwood, 1875.	add	2015-09-14 13:25:03	0	1875	stk	eng	BK	COO	cornell	cornell	cornell-ms	open	Smith, William, 1808-1872.	https://catalog.hathitrust.org/Record/100770822	https://hdl.handle.net/2027/coo1.ark:/13960/t2f76xc05
nyp.33433070250240	1	pd	6107402		NYP	b134135246	214627557,21893993				Great Exorcism / By Arthur Crane.	Arthur Crane, c1915.	bib	2010-10-10 19:30:53	0	1915	cau	eng	BK	NYP	nypl	nypl	google	google	Crane, Arthur, 1918-	https://catalog.hathitrust.org/Record/6107402	https://hdl.handle.net/2027/nyp.33433070250240
coo1.ark:/13960/t6n01qk20	1	pd	8402752		COO	4434369	39728519				History And Philosophy Of Evil 	B. Marsh, 1866.	bib	2015-07-21 03:26:23	0	1866	mau	eng	BK	COO	cornell	cornell	cornell-ms	open	Davis, Andrew Jackson, 1826-1910.	https://catalog.hathitrust.org/Record/8402752	https://hdl.handle.net/2027/coo1.ark:/13960/t6n01qk20
hvd.32044105225791	1	pd	476517		HVD	001355001	1544492	0524046379,9780524046371		00004833	History Of The Devil And The Idea Of Evil 	The Open Court Publishing Company; [etc., etc.] 1900.	bib	2014-10-18 03:27:44	0	1900	ilu	eng	BK	HVD	harvard	harvard	google	google	Carus, Paul, 1852-1919.	https://catalog.hathitrust.org/Record/476517	https://hdl.handle.net/2027/hvd.32044105225791
uva.x030152946	1	pdus	102047317		UVA	u4408525	2168200			40007914	Human Nature And The Nature Of Evil, By Clarence R. Skinner.	Universalist Pub. House [c1939]	ren	2017-06-16 05:25:06	0	1939	mau	eng	BK	UVA	virginia	virginia	google	google	Skinner, Clarence Russell, 1881-1949.	https://catalog.hathitrust.org/Record/102047317	https://hdl.handle.net/2027/uva.x030152946
njp.32101032481044	1	pdus	8888143		NJP	2529819	15137062			12036167	If I Were God / By Richard Le Gallienne ...	Thomas Y. Crowell & Company, c1897.	bib	2010-10-28 20:32:48	0	1897	nyu	eng	BK	NJP	princeton	princeton	google	google	Le Gallienne, Richard, 1866-1947.	https://catalog.hathitrust.org/Record/8888143	https://hdl.handle.net/2027/njp.32101032481044
nyp.33433068253057	1	pdus	8624366		NYP	b134445739	4240147				Is The Devil A Myth? By C. F. Franklin.	F. H. Revell Co., 1913.	bib	2010-10-10 20:32:27	0	1913	xx 	eng	BK	NYP	nypl	nypl	google	google	Wimberly, C. F. 1866-1946.	https://catalog.hathitrust.org/Record/8624366	https://hdl.handle.net/2027/nyp.33433068253057
hvd.ah5qvv	1	pd	8680709		HVD	002248535	4574430			19016633	Is The World Growing Better? By James H. Snowden.	Macmillan, 1919.	bib	2014-10-19 03:33:40	0	1919	nyu	eng	BK	HVD	harvard	harvard	google	google	Snowden, James Henry, 1852-1936.	https://catalog.hathitrust.org/Record/8680709	https://hdl.handle.net/2027/hvd.ah5qvv
mdp.69015000006730	1	pd	102644264		MIU	990046255120106381	10128667				It Isn't All Right. 	New England Reform Association. ; S.T. Munson, ag't, 143 Fulton-Street, 1861.	bib	2020-06-15 03:31:24	0	1861	mau	eng	BK	MIU	umich	umich	lit-dlps-dc	open	Temple, Cynthia (Spirit)	https://catalog.hathitrust.org/Record/102644264	https://hdl.handle.net/2027/mdp.69015000006730
nyp.33433068244163	1	pd	8623751		NYP	b134386395	13809610				Letters To Soame Jenyns, Esq., Occasioned By His Free Enquiry Into The Nature And Origin Of Evil. To Which Are Add, Three Discourses. I. On Conscience. Ii. On Inspiration. Iii. On A Paradisiacal State. By The Rev. R. Shepherd.	S. Parker, 1768.	bib	2010-10-10 20:32:25	0	1768	enk	eng	BK	NYP	nypl	nypl	google	google	Shepherd, R. 1732?-1809.	https://catalog.hathitrust.org/Record/8623751	https://hdl.handle.net/2027/nyp.33433068244163
loc.ark:/13960/t40s0d094	1	pd	9559610		LOC	1217390				06038264	Life, A Poem In Three Books; Descriptive Of The Various Characters In Life; The Different Passions, With Their Moral Influence; The Good And Evil Resulting From Their Sway; And Of The Perfect Man. Dedicated To The Social And Political Welfare Of The People Of The United States. By William Branch, Junior ...	From the Franklin Press. W. W. Gray, Printer, 1819.	bib	2011-03-19 19:31:04	0	1819	vau	eng	BK	ILOC	loc	loc	ia	open	Branch, William, jr.	https://catalog.hathitrust.org/Record/9559610	https://hdl.handle.net/2027/loc.ark:/13960/t40s0d094
mdp.39015073390554	1	pd	1028784		MIU	990010287840106381	3807801			10013749	Life's Beautiful Battle;	The Lloyd group [c1910]	bib	2012-03-15 19:31:04	0	1910	nju	eng	BK	MIU	umich	umich	google	google	Lloyd, J. Wm. 1857-1940.	https://catalog.hathitrust.org/Record/1028784	https://hdl.handle.net/2027/mdp.39015073390554
coo1.ark:/13960/t3bz6rg01	1	pdus	6569495		COO	4424337	3584590				Life's Dark Problems 	G. P. Putnam's Sons, 1905.	bib	2015-08-06 03:25:07	0	1905	nyu	eng	BK	COO	cornell	cornell	cornell-ms	open	Savage, Minot J. 1841-1918.	https://catalog.hathitrust.org/Record/6569495	https://hdl.handle.net/2027/coo1.ark:/13960/t3bz6rg01
mdp.39015059888951	1	pd	1396884		MIU	990013968840106381	3807783			81470578	Meaning Of Good 	J. Maclehose, 1901.	add	2013-02-28 17:26:17	0	1901	stk	eng	BK	MIU	umich	umich	google	google	Dickinson, G. Lowes 1862-1932.	https://catalog.hathitrust.org/Record/1396884	https://hdl.handle.net/2027/mdp.39015059888951
hvd.hwt7xt	1	pd	11638007		HVD	003749966	15363664				Ministry Of Evil 	Carlton & Porter, 1859.	bib	2012-06-04 10:28:13	0	1859	nyu	eng	BK	HVD	harvard	harvard	google	google	Warren, William Fairfield, 1833-1929.	https://catalog.hathitrust.org/Record/11638007	https://hdl.handle.net/2027/hvd.hwt7xt
uiug.30112112087280	1	pdus	100205017		UIU	2175092	4676111				Mission Of Evil 	Skeffington & Son, 1900.	bib	2014-08-16 03:27:10	0	1900	enk	eng	BK	UIUC	illinois	illinois	google	google	Allen, G. W.	https://catalog.hathitrust.org/Record/100205017	https://hdl.handle.net/2027/uiug.30112112087280
coo1.ark:/13960/t3320hp7s	1	pdus	1920763		COO	4463916	3603377			a  18000575,a18000575	Modern Job; An Essay On The Problem Of Evil, By Étienne Giran, With Introduction By Archdeacon Lilley, Authorised Translation By Fred Rothwell.	The Open court publishing company, 1916.	bib	2015-07-20 12:26:50	0	1916	xx 	eng	BK	COO	cornell	cornell	cornell-ms	open	Giran, Etienne, b. 1871.	https://catalog.hathitrust.org/Record/1920763	https://hdl.handle.net/2027/coo1.ark:/13960/t3320hp7s
coo1.ark:/13960/t0ms49h5p	1	pd	5768074		COO	5482922	4647088			11031422	Moral Uses Of Dark Things. By Horace Bushnell.	C. Schribner & company, 1868.	bib	2015-07-21 03:25:10	0	1868	nyu	eng	BK	COO	cornell	cornell	cornell-ms	open	Bushnell, Horace, 1802-1876.	https://catalog.hathitrust.org/Record/5768074	https://hdl.handle.net/2027/coo1.ark:/13960/t0ms49h5p
hvd.hnpydr	1	pd	11634789		HVD	006969322	2192203			40024788	Mystery; Or, Evil And God By John Young.	J.B. Lippincott, 1856	bib	2012-06-04 10:27:32	0	1856	pau	eng	BK	HVD	harvard	harvard	google	google	Young, John, 1805-1881.	https://catalog.hathitrust.org/Record/11634789	https://hdl.handle.net/2027/hvd.hnpydr
msu.31293101311573	1	pdus	100884257		MIEM	b21513715	5638264				Natural History Of Evil / By Adam Gowans Whyte.	Watts, 1920.	bib	2017-02-19 03:25:29	0	1920	enk	eng	BK	MSU	msu	msu	google	google	Whyte, Adam Gowans.	https://catalog.hathitrust.org/Record/100884257	https://hdl.handle.net/2027/msu.31293101311573
hvd.32044004829842	1	pd	1390418		HVD	002233109	24920769,317040	0790579464,9780790579467		20007814	Nature Of Evil 	D. Appleton, 1855.	bib	2012-05-27 19:30:28	0	1855	nyu	eng	BK	HVD	harvard	harvard	google	google	James, Henry, 1811-1882.	https://catalog.hathitrust.org/Record/1390418	https://hdl.handle.net/2027/hvd.32044004829842
chi.098751776	1	pd	100869165		CHI	2894160	6544997			08010128	Nature Of Goodness / By George Herbert Palmer.	Houghton, Mifflin, 1904.	bib	2016-02-09 03:25:26	0	1904	mau	eng	BK	CHI	uchicago	uchicago	google	google	Palmer, George Herbert, 1842-1933	https://catalog.hathitrust.org/Record/100869165	https://hdl.handle.net/2027/chi.098751776
hvd.hnq5px	1	pd	6499925	pt.3	HVD	006169898	28869199				New Philosophy ...	Saunders and Otley, 1847-49.	bib	2012-05-14 19:31:00	0	1849	enk	eng	BK	HVD	harvard	harvard	google	google		https://catalog.hathitrust.org/Record/6499925	https://hdl.handle.net/2027/hvd.hnq5px
hvd.ah6xab	1	pd	11562653		HVD	011482038	55550294				On The Duration Of Evil 	Simpkin, Marshall and Co, 1855.	bib	2012-05-13 19:43:34	0	1855	enk	eng	BK	HVD	harvard	harvard	google	google		https://catalog.hathitrust.org/Record/11562653	https://hdl.handle.net/2027/hvd.ah6xab
hvd.ah5n6a	1	pd	100439087		HVD	004595262	31336971				Origin Of Evil 	William Blackwood and Sons, 1879.	add	2015-04-11 05:25:05	0	1897	stk	eng	BK	HVD	harvard	harvard	google	google	Momerie, Alfred Williams, 1848-1900.	https://catalog.hathitrust.org/Record/100439087	https://hdl.handle.net/2027/hvd.ah5n6a
inu.30000047622752	1	pd	5992603		INU	1107885	14155039				Philosophy Of Evil.	G.B. Zieber, 1845.	bib	2012-08-26 19:30:11	0	1845	pau	eng	BK	INU	iu	iu	google	google	Silver, Joseph S.	https://catalog.hathitrust.org/Record/5992603	https://hdl.handle.net/2027/inu.30000047622752
hvd.hn5wj9	1	pd	102732996		HVD	990035133150203941	1029969168				Primary School Reader 	C.C. Little and J. Brown, 1845.	bib	2020-03-17 03:27:36	0	1845	mau	eng	BK	HVD	harvard	harvard	google	google	Swan, William D. 1809-1864.	https://catalog.hathitrust.org/Record/102732996	https://hdl.handle.net/2027/hvd.hn5wj9
coo1.ark:/13960/t3tt56b25	1	pdus	1381199		COO	4408671	381459			a  13001948,a13001948	Problem Of Evil 	University press, 1912.	bib	2015-07-23 03:25:14	0	1912	xx 	eng	BK	COO	cornell	cornell	cornell-ms	open	Fuller, B. A. G. 1879-1956.	https://catalog.hathitrust.org/Record/1381199	https://hdl.handle.net/2027/coo1.ark:/13960/t3tt56b25
aeu.ark:/13960/t73v1cm65	1	pdus	100302827		AEU	6300366	861781656	0665876424,9780665876424			Providence And Calamity By James L. Gordon.	Central Congregational Church?, 1914?]	bib	2014-09-19 03:26:13	0	1914	mbc	eng	BK	AEU	ualberta	ualberta	ia	open	Gordon, James L. 1858-1930.	https://catalog.hathitrust.org/Record/100302827	https://hdl.handle.net/2027/aeu.ark:/13960/t73v1cm65
mdp.39015046869114	1	pd	1391217		MIU	990013912170106381	377504			61011012,61011012 /L/r87	Religion, Reason, And Revelation.	Presbyterian and Reformed Pub. Co., 1961.	ren	2013-10-17 05:25:05	0	1961	pau	eng	BK	MIU	umich	umich	google	google	Clark, Gordon H. 1902-1985.	https://catalog.hathitrust.org/Record/1391217	https://hdl.handle.net/2027/mdp.39015046869114
uc1.31175035489841	1	pd	12454235		UC	000461309	40184255				Righteous And The Wicked 	Printed by Napper and White, [1826?]	bib	2013-09-21 19:25:10	0	1826	ie 	eng	BK	UCD	universityofcalifornia	universityofcalifornia	google	google		https://catalog.hathitrust.org/Record/12454235	https://hdl.handle.net/2027/uc1.31175035489841
mdp.39076002631369	1	pd	9926667		MIU	990099266670106381	27932983				Right Is Might And Other Sketches / By The Author Of Peter Parley's Tales.	Sheldon, Blakeman, 1856.	bib	2011-12-05 19:30:30	0	1856	nyu	eng	BK	UMDB	umich	umich	google	google	Goodrich, Samuel G. 1793-1860.	https://catalog.hathitrust.org/Record/9926667	https://hdl.handle.net/2027/mdp.39076002631369
uc1.a0006663611	1	pd	7649267		UC	281935	6218287			22006486	Rise And The Fall;	Hurd and Houghton, 1866.	bib	2017-11-30 03:25:53	0	1866	nyu	eng	BK	SRLF	universityofcalifornia	universityofcalifornia	google	google		https://catalog.hathitrust.org/Record/7649267	https://hdl.handle.net/2027/uc1.a0006663611
coo1.ark:/13960/t3dz0tg63	1	pd	5932845		COO	2213331	13787581				Road To Oz / By L. Frank Baum ; Illustrated By John R. Neill.	The Reilly & Lee, c1909.	bib	2015-07-20 12:26:59	0	1909	ilu	eng	BK	COO	cornell	cornell	cornell-ms	open	Baum, L. Frank 1856-1919.	https://catalog.hathitrust.org/Record/5932845	https://hdl.handle.net/2027/coo1.ark:/13960/t3dz0tg63
uiug.30112124431773	0	ic	1381753		UIU	1160691	1534670	0874621062,9780874621068		42025070	Saint Thomas And The Problem Of Evil 	Marquette University Press, 1942, 1975 printing.	bib	2021-11-12 13:52:21	0	1942	wiu	eng	BK	UIUC	illinois	illinois	google	google	Maritain, Jacques, 1882-1973.	https://catalog.hathitrust.org/Record/1381753	https://hdl.handle.net/2027/uiug.30112124431773
miun.afy0224.0001.001	1	pd	1390422		MIU	990013904220106381	1194644517			21011304	Science Of Evil.	Crane & Byron, 1871.	bib	2012-09-14 13:30:25	0	1871	ksu	eng	BK	MIU	umich	umich	lit-dlps-dc	open	Moody, Joel, 1834-	https://catalog.hathitrust.org/Record/1390422	https://hdl.handle.net/2027/miun.afy0224.0001.001
emu.010001278917	1	pd	102323219		GEU	990026727170302486	26336325				Sermon Showing That Man Was Created Upon The Foundation Of Eternal Redemption 	J.W. Burke & Co., 1870.	bib	2018-04-05 03:25:34	0	1870	gau	eng	BK	GEU	emory	emory	geu	open	Pierce, Lovick, 1785-1879.	https://catalog.hathitrust.org/Record/102323219	https://hdl.handle.net/2027/emu.010001278917
