htid	access	rights	ht_bib_key	description	source	source_bib_num	oclc_num	isbn	issn	lccn	title	imprint	rights_reason_code	rights_timestamp	us_gov_doc_flag	rights_date_used	pub_place	lang	bib_fmt	collection_code	content_provider_code	responsible_entity_code	digitization_agent_code	access_profile_code	author	catalog_url	handle_url
loc.ark:/13960/t25b0kd8m	1	pd	9606268		LOC	6875151	15625173			30032444	Life's Mystery	Henry Longstreth ..., 1873.	bib	2011-03-15 19:30:35	0	1873	pau	eng	BK	ILOC	loc	loc	ia	open	Thornton, William Thomas, 1813-1880.	https://catalog.hathitrust.org/Record/9606268	https://hdl.handle.net/2027/loc.ark:/13960/t25b0kd8m
hvd.32044073430217	1	pd	8683176		HVD	000884752	6242043				Anti-universalist 	J. Munsell, 1837.	bib	2014-11-06 03:31:19	0	1837	nyu	eng	BK	HVD	harvard	harvard	google	google	Priest, Josiah, 1788-1851.	https://catalog.hathitrust.org/Record/8683176	https://hdl.handle.net/2027/hvd.32044073430217
aeu.ark:/13960/t6m04zq30	1	pd	100280827		AEU	6264107	768320325	0665471599,9780665471599			Appeal No. Iv., To The Young Men And Boys Of Kingston	s.n., 18--?]	bib	2014-09-17 03:26:49	0	1800	xx 	eng	BK	AEU	ualberta	ualberta	ia	open	Carr-Harris, Bertha, 1863-1949.	https://catalog.hathitrust.org/Record/100280827	https://hdl.handle.net/2027/aeu.ark:/13960/t6m04zq30
nc01.ark:/13960/t4zg7qz66	1	pd	12193678		UNC	b7004399	772123524				Bear And Forbear, Or, The Young Skipper Of Lake Ucayga / By Oliver Optic ; Illustrated.	Lee and Shepard ; Lee, Shepard & Dillingham, [1870, c1869]	bib	2013-01-31 19:52:33	0	1869	mau	eng	BK	IUNC	unc	unc	ia	open	Optic, Oliver, 1822-1897.	https://catalog.hathitrust.org/Record/12193678	https://hdl.handle.net/2027/nc01.ark:/13960/t4zg7qz66
hvd.32044011742962	1	pd	11615510		HVD	005508521	29075234				Beneficence Of Design In The Problem Of Evil 	[s.n.], 1849.	bib	2012-05-31 19:30:15	0	1849	nyu	eng	BK	HVD	harvard	harvard	google	google		https://catalog.hathitrust.org/Record/11615510	https://hdl.handle.net/2027/hvd.32044011742962
hvd.ah693y	1	pd	9716375		HVD	000803122	4221067			40023725	Cheering Views Of Man And Providence, Drawn From A Consideration Of The Origin, Uses, And Remedies Of Evil. By Warren Burton.	Carter, Hendee and Co., 1832.	bib	2011-04-29 20:31:28	0	1832	mau	eng	BK	HVD	harvard	harvard	google	google	Burton, Warren, 1800-1866.	https://catalog.hathitrust.org/Record/9716375	https://hdl.handle.net/2027/hvd.ah693y
loc.ark:/13960/t7kp9932b	1	pd	100137438		LOC	273373				14000608	Christ And The Dramas Of Doubt, Studies In The Problem Of Evil, By Ralph Tyler Flewelling.	Eaton & Mains; Jennings & Graham [c1913]	bib	2014-02-20 03:43:24	0	1913	nyu	eng	BK	ILOC	loc	loc	ia	open	Flewelling, Ralph Tyler, 1871-1960.	https://catalog.hathitrust.org/Record/100137438	https://hdl.handle.net/2027/loc.ark:/13960/t7kp9932b
yale.39002088440681	1	pd	8728718		YALE	2499179	10915391				Christian View Of Moral Evil 	Willmer and Smith, [etc.], 1839.	bib	2011-06-06 19:30:24	0	1839	enk	eng	BK	YALE	yale	yale	yale	open	Martineau, James, 1805-1900.	https://catalog.hathitrust.org/Record/8728718	https://hdl.handle.net/2027/yale.39002088440681
loc.ark:/13960/t4xh0t01v	1	pd	100130881		LOC	7673326				unk82083889	Cicero's Five Books De Finibus;	1812.	bib	2014-02-20 03:43:59	0	1812	enk	eng	BK	ILOC	loc	loc	ia	open	Cicero, Marcus Tullius.	https://catalog.hathitrust.org/Record/100130881	https://hdl.handle.net/2027/loc.ark:/13960/t4xh0t01v
uva.x000161999	1	pd	9787936		UVA	u226123	5061141				Conflict Of Good And Evil In Our Day 	Smith, Elder, 1865.	bib	2011-05-15 19:30:09	0	1865	enk	eng	BK	UVA	virginia	virginia	google	google	Maurice, Frederick Denison, 1805-1872.	https://catalog.hathitrust.org/Record/9787936	https://hdl.handle.net/2027/uva.x000161999
