htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
uc2.ark:/13960/t28914q1v	A land of heroes; stories from early Irish history. With six illustrations by John H. Bacon. 	"O'Byrne, W. Lorcan, 1845-1913."	1900-00-00	1	12270260			https://catalog.hathitrust.org/Record/007668835	https://hdl.handle.net/2027/uc2.ark:/13960/t28914q1v
wu.89017100934	"Celtic fairy tales, selected and ed. by Joseph Jacobs. Illustrated by John D. Batten. "	"Jacobs, Joseph, 1854-1916,"	1892-00-00	1		4000904		https://catalog.hathitrust.org/Record/005776598	https://hdl.handle.net/2027/wu.89017100934
nc01.ark:/13960/t0dv2nn46	Cuchulain : the hound of Ulster / by Eleanor Hull ; with eight illustrations by Stephen Reid. 	"Reid, Stephen, 1873-1948, Hull, Eleanor, 1860-1935."	1910-00-00	1	1221188			https://catalog.hathitrust.org/Record/012193792	https://hdl.handle.net/2027/nc01.ark:/13960/t0dv2nn46
uc2.ark:/13960/t0cv4hx90	Finn and his companions / by Standish O'Grady. 	"O'Grady, Standish, 1846-1928."	1921-00-00	9	12755477			https://catalog.hathitrust.org/Record/007691156	https://hdl.handle.net/2027/uc2.ark:/13960/t0cv4hx90
mdp.39015030708088	"In the gates of the North, by Standish O'Grady ... "	"O'Grady, Standish, 1846-1928."	1919-00-00	1	629454			https://catalog.hathitrust.org/Record/001910507	https://hdl.handle.net/2027/mdp.39015030708088
coo1.ark:/13960/t53f5b94k	Irish fairy tales / by James Stephens ; illustrated by Arthur Rackham. 	"Stephens, James, 1882-1950."	1920-00-00	9	6835250			https://catalog.hathitrust.org/Record/100769632	https://hdl.handle.net/2027/coo1.ark:/13960/t53f5b94k
uiug.30112046521990	"Kings and vikings; stories from Irish history, by W. Lorcan O'Byrne. With six illustrations by Paul Hardy. "	"O'Byrne, W. Lorcan, 1845-1913."	1900-00-00	9	5399670	2029043		https://catalog.hathitrust.org/Record/100200103	https://hdl.handle.net/2027/uiug.30112046521990
wu.89017100926	"More Celtic fairy tales; selected and edited by Joseph Jacobs, illustrated by John D. Batten. "	"Jacobs, Joseph, 1854-1916,"	1894-00-00	1	166304			https://catalog.hathitrust.org/Record/005776599	https://hdl.handle.net/2027/wu.89017100926
uc1.b4593627	"The big tree of Bunlahy, stories of my own countryside, by Padraic Colum; illustrated by Jack Yeats. "	"Colum, Padraic, 1881-1972."	1933-00-00	1	1571660	33022932		https://catalog.hathitrust.org/Record/006281410	https://hdl.handle.net/2027/uc1.b4593627
loc.ark:/13960/t8x92qh8h	"The boy apprenticed to an enchanter, by Padraic Colum; illustrated by Dugald Stuart Walker. "	"Colum, Padraic, 1881-1972."	1920-00-00	1	1571732	20021991		https://catalog.hathitrust.org/Record/006738571	https://hdl.handle.net/2027/loc.ark:/13960/t8x92qh8h
nc01.ark:/13960/t7jq21k0q	The boy who knew what the birds said / by Padraic Colum; illustrated by Dugald Stewart Walker. 	"Colum, Padraic, 1881-1972."	1918-00-00	1	366850	18020970		https://catalog.hathitrust.org/Record/001417461	https://hdl.handle.net/2027/nc01.ark:/13960/t7jq21k0q
uc2.ark:/13960/t7gq75d9r	The coming of Lugh : a Celtic wonder-tale / retold by Ella Young ; illustrated by Maud Gonne. 	"Gonne, Maud, Young, Ella, 1867-1956."	1909-00-00	9	7669808			https://catalog.hathitrust.org/Record/007697933	https://hdl.handle.net/2027/uc2.ark:/13960/t7gq75d9r
inu.39000005849273	"The enchanted lochan, stories of Celtic mythology, by F. Carmichael Brunton ... With illustrations by Noel L. Nisbet. "	"Brunton, F. Carmichael."	1917-00-00	1	2502175	18003399		https://catalog.hathitrust.org/Record/006812036	https://hdl.handle.net/2027/inu.39000005849273
umn.31951002408336w	"The high deeds of Finn, and other bardic romances of ancient Ireland, "	"Rolleston, T. W. 1857-1920."	1922-00-00	9	19284794			https://catalog.hathitrust.org/Record/012517028	https://hdl.handle.net/2027/umn.31951002408336w
hvd.32044004359204	The king of Irelands son / by Padraic Colum; illustrations and decorations by Willy Pogány. 	"Colum, Padraic, 1881-1972."	1916-00-00	1	607993	16023241		https://catalog.hathitrust.org/Record/008681925	https://hdl.handle.net/2027/hvd.32044004359204
nyp.33433086985888	The laughter of Peterkin : a retelling of old tales of the Celtic wonderworld / by Fiona Macleod ; drawings by Sunderland Rollinson. 	"Sharp, William, 1855-1905."	1897-00-00	9	2703484			https://catalog.hathitrust.org/Record/008681937	https://hdl.handle.net/2027/nyp.33433086985888
uc1.b3477644	"The legend of Saint Columba, by Padraic Colum: illustrated by E. MacKinstry. "	"Colum, Padraic, 1881-1972."	1935-00-00	1	907213	35022642		https://catalog.hathitrust.org/Record/006663082	https://hdl.handle.net/2027/uc1.b3477644
